RM,60,9153,false,right,true,0,0,0,0,0,0,1,X,0,0,0,0,2,0,0,X,2,P,1,5,x,false,false,false,"Couldn't push well, got in the way, cost the team a balance rp"
Mc,60,4253,false,left,true,1,0,0,0,0,0,0,X,2,1,1,0,0,0,1,BOTH,0,D,2,1,3,false,false,false,undefined
AK,61,6329,false,left,true,2,0,0,0,0,0,0,X,1,0,3,2,0,0,0,X,3,E,2,3,3,false,false,false,Good bot at scoring a mix of cube and cone
CW,61,148,false,left,true,1,1,0,0,0,1,0,X,2,1,2,2,1,0,0,BOTH,5,E,3,1,x,false,false,false,Very good and fast
BB,61,333,false,middle,false,0,1,0,0,0,0,0,E,4,1,0,0,0,0,0,BOTH,0,E,3,1,x,false,false,false,undefined
KVN,61,3132,false,right,true,1,1,0,0,0,0,0,X,0,1,0,0,0,4,0,BOTH,0,E,2,1,x,false,false,false,Great at scoring cubes
Zc,61,6868,false,right,false,0,0,0,0,0,0,0,X,0,0,0,0,0,3,0,GROUND,5,E,3,3,x,false,false,false,"Very slow, can score all 3 levels but not quickly"
ST,61,4392,false,middle,true,1,0,0,0,0,0,0,X,2,0,3,0,0,1,0,SUBSTATION,9,P,2,1,x,false,false,false,"Played very well, consistent"
KVN,62,9016,false,left,true,0,1,0,0,0,0,0,X,0,1,1,0,1,0,0,X,0,X,0,x,x,false,true,false,Probably scored only cones
Zc,62,8393,false,middle,false,0,1,0,0,0,0,0,X,3,1,1,0,0,0,0,SUBSTATION,6,E,3,2,x,false,false,false,Decent maneuverability
BB,62,4738,false,right,true,1,0,0,1,0,1,0,X,1,0,3,0,2,0,0,BOTH,6,E,3,1,x,false,false,false,Very consistent and quick
CW,62,4788,false,left,true,0,0,0,0,1,0,1,X,1,1,1,1,0,0,0,SUBSTATION,6,E,3,2,x,false,false,false,Sketchy intake but overall alright
ST,62,9219,false,right,true,0,0,0,1,0,0,0,X,0,0,1,0,0,2,0,BOTH,2,D,1,4,x,false,false,false,Didn't perform very well at all. Scored/ moved little and got a fine stuck underneath and couldn't get it out
AK,62,1100,false,middle,false,1,0,0,0,0,0,0,E,2,2,0,0,0,0,0,BOTH,3,P,0,3,3,false,false,false,Decent bot good at scoring top
Zc,63,3310,false,left,true,0,0,1,1,0,0,0,X,3,2,1,1,0,0,0,BOTH,6,E,3,1,x,false,false,false,"Fast, efficient, sleek. "
CW,63,6358,false,right,false,0,0,1,0,0,0,0,X,0,0,1,1,0,0,0,SUBSTATION,5,E,3,2,x,false,false,false,Very slow to score and grabe
AK,62,6998,false,left,false,0,0,0,0,0,1,0,X,0,0,0,0,0,0,0,X,2,E,3,4,2,false,false,false,Just defended did decent
ST,63,1756,false,right,false,0,1,1,1,0,0,0,X,4,0,0,0,2,1,0,BOTH,3,E,3,1,x,false,false,false,Played very well. Can pick up pieces quickly and scores just as well. W team
BB,63,818,false,middle,true,1,0,0,0,0,0,0,E,2,1,1,0,0,0,0,BOTH,5,E,3,2,x,false,false,false,Got a penalty for being in other community
JE,63,7220,false,left,true,0,1,0,0,0,0,0,E,2,1,0,0,0,2,0,X,5,E,3,2,x,false,false,false,Did well but was slow
BB,64,6348,false,right,true,1,0,0,0,0,0,0,X,2,0,0,0,1,0,1,BOTH,4,E,3,3,x,false,false,false,Tippy
CW,63,4766,false,left,true,0,1,0,0,0,0,0,X,0,0,0,0,0,6,0,GROUND,4,E,3,1,x,false,false,false,Only could do bottom cubes
ST,64,5687,false,right,true,1,0,0,1,0,0,0,X,1,1,2,1,0,0,0,BOTH,5,P,2,1,x,false,false,false,Played consistently
JE,64,7890,false,left,true,1,0,0,0,0,0,0,E,3,0,0,0,3,0,1,SUBSTATION,5,E,3,1,x,false,false,false,Strong bot
RM,64,3847,false,left,true,0,0,1,1,0,0,0,X,3,0,1,0,1,0,0,BOTH,5,E,2,2,x,false,false,false,Struggled with the cable bump
Zc,64,343,false,middle,false,0,1,0,0,0,0,0,X,2,1,0,0,0,0,0,SUBSTATION,4,E,3,3,x,false,false,false,"Auto runs into charge station. Slow, big"
KVN,65,325,false,left,true,1,1,0,0,0,0,0,X,2,0,3,1,0,1,0,X,4,E,2,1,x,false,false,false,Good maneuvering and fast scoring
BB,65,6586,false,right,true,0,1,0,0,0,0,0,X,0,0,0,0,0,0,0,X,3,E,3,4,5,false,false,false,🐌slow
RM,65,3341,false,right,true,0,1,0,0,0,0,0,X,0,0,0,0,0,0,0,X,5,P,2,x,x,false,false,false,"Ignore this one, I got distracted by mason"
CW,63,399,false,middle,true,0,1,0,0,0,0,0,D,0,1,0,0,0,7,0,BOTH,5,E,5,1,x,false,false,false,Primary bottom cube
ST,65,1771,false,left,true,1,1,0,0,0,0,0,E,2,0,1,0,0,1,1,BOTH,5,E,2,1,x,false,false,false,Played well. Lost a bunch of momentum mid game but then got it back
Zc,65,7021,false,left,true,1,1,0,0,0,0,0,X,5,0,2,0,0,0,0,BOTH,6,E,3,2,x,false,false,false,"Pretty fast, swerve, claw"
CW,66,1868,false,left,true,1,1,0,0,0,0,0,X,1,0,2,2,1,0,0,BOTH,4,E,3,2,x,false,false,false,Pretty good
KVN,66,449,false,right,true,1,1,0,0,0,0,0,X,1,1,2,1,0,2,0,BOTH,6,E,3,1,x,false,false,false,Superb maneuvering and versatile fast scoring
RM,66,2370,false,middle,true,0,1,0,0,0,0,0,X,0,0,2,1,0,1,0,SUBSTATION,6,E,3,2,x,false,false,false,Could be faster
Zc,66,1403,false,middle,false,1,0,0,0,0,0,0,E,3,1,0,0,0,0,0,SUBSTATION,4,E,3,2,x,false,false,false,Slower
BB,66,9085,false,right,true,0,0,0,1,0,0,0,X,0,0,0,0,0,3,0,BOTH,4,E,3,3,x,false,false,false,Flimsy intake
ST,66,4270,false,left,true,1,0,0,0,0,0,0,X,2,0,2,3,0,0,0,BOTH,6,E,3,1,1,false,false,false,undefined
